Название вакансии,URL,Название компании,Описание 
Старший инженер-программист Python / Python Developer,https://spb.hh.ru/vacancy/27988475?query=python, Группа «Кронштадт»,"Группа «Кронштадт» является разработчиком и единственным поставщиком “Единой автоматизированной системы обеспечения геопространственной информацией”. Продукт является инновационной платформой, основное назначение которой... Знание основ теории алгоритмов. Отличное знание и опыт использования Python 3. Знание основных сетевых протоколов. Опыт создания многопоточных приложений. "
Python developer (back end),https://spb.hh.ru/vacancy/29584253?query=python, EXANTE," Понимаете (как минимум) реляционные базы данных. Ясно мыслите, внимательны к мелочам, читаете документацию на английском. Горите желанием развиваться в современной..."
Developer Python / C++ (программист дополненной реальности),https://spb.hh.ru/vacancy/28523197?query=python, LG Electronics Inc.,"Прототипирование и реализация алгоритмов sensor fusion и компьютерного зрения. Программирование 3D user interface. Сопровождение внутреннего и внешнего инструментария. Знание языков Python и C++. Математическая подготовка: основы линейной алгебры и аналитической геометрии, основы теории вероятностей. Алгоритмическая подготовка: знание базовых..."
Специалист по компьютерному зрению,https://spb.hh.ru/vacancy/28876682?query=python, ВКонтакте, Знание C++ и Python. Опыт работы с популярными библиотеками ML. Навыки обработки цифровых сигналов (видео и опционально аудио).
Инженер - программист LINUX,https://spb.hh.ru/vacancy/29637183?query=python, Омега,"Группа компаний «Омега» - лидер российского рынка в области разработки, внедрения и сопровождения информационных систем на базе технологий 1С для... Плюсом будет: Опыт написания / отладки драйверов под Linux. Опыт работы с системами реального времени. Опыт разработки на С++, python."
Инженер по тестированию LINUX,https://spb.hh.ru/vacancy/29637337?query=python, Омега,"Группа компаний «Омега» - лидер российского рынка в области разработки, внедрения и сопровождения информационных систем на базе технологий 1С для... Навык работы с инструментами для тестирования API (REST, SOAP). Python или любой другой скриптовый язык для автоматизации рутинной работы. "
Senior Data Scientist,https://spb.hh.ru/vacancy/29523761?query=python, JetBrains,"Мы разрабатываем среды разработки (IDE) для разных языков программирования, собираем статистику и используем полученные данные для улучшения наших продуктов.  Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработке на Scala/Python/R. Имеешь опыт работы с..."
"Senior/Middle Fullstack Developer (Java, JavaScript), VMAX",https://spb.hh.ru/vacancy/29617741?query=python, Dell EMC,The Software Engineering team delivers next-generation software application enhancements and new products for a changing world. Working at the... 3+ years of experience in software design and implementation. Java 8/9 working knowledge. JavaScript technologies working knowledge (any...
Senior Data Scientist,https://spb.hh.ru/vacancy/29726986?query=python, ПАО «Газпром нефть»,"Бороться со сложными и нечётко поставленными задачами, выжимать из бизнес-постановки формальные требования. Анализировать данные, проверять гипотезы, разрабатывать модели.  Отличное владение Python и инструментами анализа данных: pandas, numpy, scipy, scikit-learn, xgboost, matplotlib. Опыт работы с Hadoop/Spark (+Spark..."
Инженер по тестированию ПО / QA Engineer,https://spb.hh.ru/vacancy/27322016?query=python,ООО Умное пространство,"Требования: Confluence. Дизайн: Zeplin. Тестовая документация: TestRail. Разработка: сервер - Python, БД - PostgreSQL; Android - Java, Kotlin; iOS - Objective-C, Swift; web... Опыт тестирования веб и мобильных приложений. Опыт тестирования серверного API. Не менее 2-х лет опыта работы на аналогичной позиции. "
Senior Python developer (Big Data),https://spb.hh.ru/vacancy/25887293?query=python," EPAM Systems, Inc.","Проекты из различных предметных областей: от секвенирования генома и поиска новых лекарств до вычисления финансовых показателей хэдж-фондов и анализа... Уверенные знания Python 2/3. Понимание GIL, декораторов, magic-методов. Знание CI/CD процессов. Опыт написания веб-сервисов на Flask..."
Инженер-программист C++ Qt,https://spb.hh.ru/vacancy/29737223?query=python,ООО НПП Новые Технологии Телекоммуникаций,"Разработка новых компонентов и участие в поддержки существующих компонентов, используемых при построении продуктов компании с применением Qt. Участие в разработке... Опыт использования Visual Studio. Опыт использования Boost. Опыт поддержки существующего кода. Пригодится опыт использования git, python, google mock, jenkins, cmake."
Senior Software Developer (IntelliJ IDEA),https://spb.hh.ru/vacancy/18562648?query=python, JetBrains,"Для организации командной работы используются наши собственные продукты: UpSource для ревью кода, TeamCity для автоматического запуска тестов и сборки продуктов... Мы хотим видеть тебя в своей команде. Имеешь опыт разработки на Java от 5 лет. Умеешь проектировать и писать код..."
Senior Software Developer (PyCharm),https://spb.hh.ru/vacancy/22056926?query=python, JetBrains,"Развивать поддержку языка Python, разрабатывать средства анализа кода и рефакторинги. Разрабатывать интеграцию с популярными Веб-фреймворками: Django, Pyramid, Flask и... Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработки на Java от 5-ти лет. "
Ведущий программист Python,https://spb.hh.ru/vacancy/29546981?query=python,ООО Стоинг,"Работа над уникальным проектом, по развитию платформы B2B. -Разработка новых и поддержка существующих сервисов. -Интеграция со сторонними сервисами. - Хорошее знание Python 2/3. -Опыт разработки с использованием Django. -Опыт работы с реляционными СУБД (в приоритете PostgreSQL). -"
Senior Software Developer (Datalore),https://spb.hh.ru/vacancy/25418871?query=python, JetBrains,"Geo-information systems knowledge. Office library with specialized work-related books and magazines. At least 6 years of commercial or research development experience. Programming experience in Java, C# or any other statically typed..."
C/C++/Math разработчик,https://spb.hh.ru/vacancy/29404918?query=python, Emlid,Улучшение алгоритмов обработки GPS данных. Разработка алгоритмов обработки инерциальных данных. Добавление IPC-механизмов к математическому движку. Добавление биндингов для других... Знание линейной алгебры и фильтров Калмана. Знание С++11 и Python. Опыт работы со статическими и динамическими анализаторами кода. 
Software Developer (PhpStorm),https://spb.hh.ru/vacancy/27193466?query=python, JetBrains,"Первые тип — задачи, связанные с обработкой большого объема исходного кода. IDE должна на лету обрабатывать введённый код, подсвечивать в нём... Мы хотим видеть тебя в своей команде. Имеешь опыт разработки на Java от 3 лет. Умеешь проектировать и писать код..."
Senior Software Developer (PhpStorm),https://spb.hh.ru/vacancy/27193472?query=python, JetBrains,"Первые тип — задачи, связанные с обработкой большого объема исходного кода. IDE должна на лету обрабатывать введённый код, подсвечивать в нём... Мы хотим видеть тебя в своей команде. Имеешь опыт разработки на Java от 5 лет. Умеешь проектировать и писать код..."
Data Scientist (Marketing Research),https://spb.hh.ru/vacancy/27374205?query=python, JetBrains,"Наша задача - предоставить необходимые данные для улучшения ценовых и маркетинговых стратегий, для принятия обоснованных решений по изменениям в продуктах.  Опыт созданий своих собественных пакетов. Базовые знания SQL и Python. Умение самостоятельно планировать процесс исследования. Отличные коммуникационные навыки. "
Data Engineer,https://spb.hh.ru/vacancy/29726954?query=python, TaskData,"Проектирование моделей БД (SQL, NoSQL). Создание и оптимизация запросов к различным БД (SQL, NoSQL). Проектирование и настройка интеграционных решений между... Знание языка программирования или дополнительных библиотек для статистической обработки данных и работы с графикой (R Language, Python (Pandas, matplotlib, numpy..."
Senior Python developer,https://spb.hh.ru/vacancy/26092170?query=python," EPAM Systems, Inc.","Проекты из различных предметных областей. Активны несколько проектов в сфере цифровых связей, информационной безопасности, fraud detection и не только. Уверенные знания Python 2/3. "
Младший программист Python,https://spb.hh.ru/vacancy/29197252?query=python,ООО БиАйЭй-Технолоджиз,"Решение задач по поддержке и доработке существующих систем на языке python. Участие в проектах по разработке внутренних сервисов (тысячи пользоваталей... Знание языка программирования python. Знание любого языка программирования из web-сферы (php, ruby, .NET, Java). Знание и понимание баз данных..."
Системный администратор по работе над проектами Linux,https://spb.hh.ru/vacancy/29644491?query=python, Омега,"Группа компаний «Омега» - лидер российского рынка в области разработки, внедрения и сопровождения информационных систем на базе технологий 1С для... Опыт в автоматизации с использованием salt, python и bash. Опыт работы с системами виртуализации: kvm,lxc. Навыки в настройке баз..."
Data engineer (Инженер больших данных),https://spb.hh.ru/vacancy/29238353?query=python," Лента, федеральная розничная сеть, Центральный офис","Участие в пилотных проектах и проектах внедрения по тематикам Data Science в области цепочек поставок. Разработка инфраструктуры ХД и интеграции... Высшее математическое/техническое/экономическое образование. Высокие навыки (программирование на Python/Java/SQL/Scala). Знание Linux уровне администратора, DevOps навыки. "
Python Data Engineer,https://spb.hh.ru/vacancy/29057458?query=python, Правовед.RU,"Проектировать и разрабатывать архитектуру данных. Создавать базы данных для BI-системы: достать сырые данные, трансформировать их, заливать в базу.  Практический опыт программирования на Python от 1 года, в том числе обработка больших массивов данных и написание скриптов. "
Senior Software Developer (Kotlin IDE\Tooling),https://spb.hh.ru/vacancy/24246955?query=python, JetBrains,"Знаком(а) с технологиями создания компиляторов, анализа кода. Для организации командной работы используются наши собственные продукты: TeamCity (https://teamcity.jetbrains.com) для... Мы хотим видеть тебя в своей команде. Имеешь опыт разработки на Java\Kotlin от 3 лет. Имеешь опыт разработки developer..."
Java Developer (PyCharm),https://spb.hh.ru/vacancy/22623386?query=python, JetBrains,"Развивать поддержку языка Python, разрабатывать средства анализа кода и рефакторинги. Разрабатывать интеграцию с популярными Веб-фреймворками: Django, Pyramid, Flask и... Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработки на Java от 3-х лет. "
Senior Software Developer (WebStorm),https://spb.hh.ru/vacancy/27860066?query=python, JetBrains,"Знаком(а) с технологиями создания компиляторов, анализа кода. Задачи, которые ставятся перед программистами, можно разделить на два типа: Первый тип... Имеешь опыт разработки на Java от 5 лет. Умеешь проектировать и писать код, который легко читать и поддерживать. "
Software Developer (CLion: Debuggers Support),https://spb.hh.ru/vacancy/28375298?query=python, JetBrains,"Приоритетные направления развития IDE на данный момент – улучшение поддержки отладчиков GDB и LLDB, а также расширение функциональности, связанной с разработкой... Понимание внутреннего устройства отладчиков. Опыт Python (у дебаггеров внутри есть интерпретатор Python). Опыт работы в Unix: bash, сборка с использованием..."
QA engineer (RubyMine),https://spb.hh.ru/vacancy/27194731?query=python, JetBrains,"Осуществлять функциональное, исследовательское и регрессионное тестирование разных компонентов IDE в различном окружении. Работать с пользователями в баг-трекере и осуществлять... Навык программирования на одном или нескольких языках (Ruby, Java, Python) на уровне, достаточном для написания небольшого приложения. Умение искать, находить..."
Senior Software Developer (CLion: Clang Integration),https://spb.hh.ru/vacancy/28446111?query=python, JetBrains,"CLion использует Clang (Clangd и Clang-Tidy) для показа ошибок в редакторе, в будущих версиях планируется расширение этого взаимодействия и... Большая часть исходного кода написана на Java 8 и Kotlin; некоторые компоненты, касающиеся отладчика, написаны на C, C++ и Python."
DevOps engineer,https://spb.hh.ru/vacancy/29727072?query=python, First Line Software," Настройка (coreutils, iptables, RPM/dpkg, cron), возможность автоматизировать рутинные сценарии (хотя бы одно: bash, shell, perl, python). Администрирование ОС Windows. "
Data Engineer,https://spb.hh.ru/vacancy/28198199?query=python, IQ Орtiоn Sоftwаre,"Проектирование, разработка и поддержка архитектуры для анализа больших данных. Выбор хранилищ данных, их развертывание и поддержание. Написание ETL процедур.  Написание скриптов для ETL трансформаций данных. Знание, как минимум, одного из языков: Python, Java, Scala. Умение работать с bash и..."
Software Engineer (JVM Runtime),https://spb.hh.ru/vacancy/26949603?query=python, JetBrains,"As part of our team, you will help develop IntelliJ IDEA Platform UI subsystem and OpenJDK based Java Runtime. 4+ years of working experience in C/C++ programming. Good knowledge of Java. Deep understanding of OOP. "
Data Engineer,https://spb.hh.ru/vacancy/29715748?query=python, Skyeng,"Свести к минимуму число проблем с репликациями. Свести к минимуму число косяков в отчетах из-за неправильных данных. Отличное знание SQL. Хорошее знание Python. Опыт работы с Amazon Redshift. Внимательность, стремление к порядку. Дружелюбность и коммуникабельность."
Senior Infrastructure Java Engineer (Intellij IDEA),https://spb.hh.ru/vacancy/24140579?query=python, JetBrains,"Знаком(а) с технологиями создания компиляторов, анализа кода, генерации и инструментации байт кода. Для организации командной работы используются наши собственные... Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработки на Java от 3 лет. Понимаешь устройство систем..."
Senior QA Engineer (Telco),https://spb.hh.ru/vacancy/29054162?query=python, DINO Systems,"Планировать тестирование в рамках телефонных проектов/задач. Заниматься развертыванием, обновлением и поддержкой тестовых окружений (в основном, телефонные и факсовые компоненты).  ...с протоколом SIP, анализ сетевого трафика). Опыт тестирования серверных приложений. Опыт работы с базами данных (Oracle, MySQL, NoSQL). Знание Python."
Senior Java Developer (RnD),https://spb.hh.ru/vacancy/29736481?query=python, Nexign (АО «Петер-Сервис»),"1. Разработка и тестирование многопоточных высоконагруженных серверных приложений. 2. Участие в архитектурных решениях, взаимодействие с продуктовыми архитекторами. 3. Ревью кода.  Базовые знания каких-либо языков программирования, кроме Java. Приветствуются Groovy, Scala, Kotlin, C++, Python или Go. 2. Опыт использования Akka..."
"Senior Test Engineer (IDEA, Scala plugin)",https://spb.hh.ru/vacancy/27947221?query=python, JetBrains,"Работа в сотрудничестве с программистами: ручное тестирование новой или измененной функциональности, регрессионное тестирование; для проверки стабильности системы, приемочное тестирование.  Высшее образование. Хороший письменный английский. Опыт работы в сфере тестирования. Знакомство с языками программирования (Java/JavaScript/Scala…), достаточное для написания..."
Senior Test Engineer (Intellij IDEA),https://spb.hh.ru/vacancy/27086886?query=python, JetBrains,"Работа в сотрудничестве с программистами: ручное тестирование новой или измененной функциональности, регрессионное тестирование; для проверки стабильности системы, приемочное тестирование.  Высшее образование. Хороший письменный английский. Опыт работы в сфере тестирования. Знакомство с языками программирования (Java/JavaScript/Scala...), достаточное для написания..."
Web Developer (Python),https://spb.hh.ru/vacancy/29102224?query=python, 220 Вольт,Разработка высоконагруженных сервисов с использованием asyncio. Работа над внутренними проектами компании (Django). Опыт коммерческой разработки на Python от двух лет. Хорошее знание asyncio и aiohttp. Хорошее знание Django (преимущественно 1.11). 
Java Swing Developer (IntelliJ Platform UI Team),https://spb.hh.ru/vacancy/26133511?query=python, JetBrains,"Вместе с командой разрабатывать IntelliJ Platform - платформу для создания сред разработки таких как: IntelliJ IDEA, RubyMine, PyCharm, PhpStorm, WebStorm, CLion... Знание других языков и других парадигм (Groovy, Haskell, Objective C, Python, Scala, Ruby, etc.). Знакомство с технологиями создания компиляторов, анализа..."
QA automation engineer,https://spb.hh.ru/vacancy/28300704?query=python, ProBusiness Group,"В дальнейшем разработка автотестов для REST API и Web GUI с возможным использованием других языков программирования, например, Java, Python. Необходимые знания: - Опыт разработки автотестов на одном из следующих языков: Java, Python, Ruby. - Знание технологий виртуализации, продуктов VirtualBox, VMware. - "
Системный программист Linux (международная IT компания),https://spb.hh.ru/vacancy/28696329?query=python, AVRIO Group Consulting,"Системное программирование. Создание драйверов периферии, сервисного меню. Разработка модулей ядра и системных библиотек комплекса программного обеспечения для игрового оборудования: отказоустойчивые... Желателен опыт написания драйверов устройств и прототипов. Желателен опыт программирования на скриптовых языках (Bash, Awk,Sed,Perl,Python). "
"Frontend Developer (WebTeam, Kotlin site)",https://spb.hh.ru/vacancy/29057998?query=python, JetBrains,"Рефакторинг старого JS/jQuery кода. Часть сервера сайта написана на Python с использованием фреймворка Flask (Это планируется переписать).  Мы хотим видеть тебя в своей команде, если ты: Хорошо знаешь JavaScript (ES6). Имеешь опыт разработки приложений с использованием..."
Senior DevOps инженер,https://spb.hh.ru/vacancy/29548623?query=python, Nexign (АО «Петер-Сервис»),"Сопровождение и развитие ИТ-инфраструктуры предприятия/ дежурства DevOps ИТО. Консультирование разработчиков на втором уровне поддержки. Участие в проектной деятельности по... Навыки использования скриптовых языков для автоматизации диагностики (предпочтительно Python, Bash, PowerShell). Базовые знания архитектуры построения распределённых приложений (фронт, бэк, БД). "
QA engineer,https://spb.hh.ru/vacancy/29728227?query=python,ООО Это элементарно,"Тестирование требований, документации по проекту (ТЗ, спецификации, use-кейсы). Тестирование аппаратно-программного комплекса (функциональное, регрессионное, нагрузочное, стрессовое). Тестирование API и... Высшее техническое образование. Опыт работы в тестировании от 1 года. Знание методик и основных видов тестирования. Знание на хорошем уровне..."
Infrastructure/DevOps engineer,https://spb.hh.ru/vacancy/28654080?query=python, JetBrains,"Решение задач по развертыванию собственных приложений компании JetBrains (от staging/test-стеков до production). Постоянное взаимодействие с командами проектов для... Умение писать на скриптовых языках (Python, Bash). Опыт управления инфраструктурой из кода, построение CI/CD pipelines. Опыт с CI/CD..."
Инженер-программист,https://spb.hh.ru/vacancy/29723462?query=python,ОАО Концерн НПО Аврора,"Разработка корпоративных web-приложений в составе рабочей группы. Координация работы рабочих групп - соисполнителей. Разработка программной документации. Уверенное знание HTML, CSS, JS, Python (Django), PHP. Опыт самостоятельной разработки web-приложений на языке программирования Python (Django). "
Data scientist,https://spb.hh.ru/vacancy/29692941?query=python, HROM,"Разработка предиктивных трейдинговых алгоритмов для криптовалют. - Тестирование алгоритмов и стратегий. - Создания ML-алгоритмов для аналитики timeseries данных. Работа с развивающимся... Опыт работы с нейросетями и другими ML-алгоритмами. - Знание Python/Java. - Понимание принципов матстатистики, базовые знания математики и способность применять..."
DevOPS engineer (Automated Deployment System),https://spb.hh.ru/vacancy/29733066?query=python, DINO Systems,"Принимать участие в развитии системы деплоймента. Отслеживать и поддерживать доступность сервиса (кластера Postgresql, Redis, MongoDB, nginx + десятки микросервисов).  Опыт автоматизации с использованием скриптовых языков (Bash, Python). Базовое знание сети. Опыт работы с мониторингом. Понимание принципов отказоустойчивости и особенностей..."
Support Engineer (PyCharm),https://spb.hh.ru/vacancy/28206107?query=python, JetBrains,"Воспроизведение дефектов по репортам пользователей. Работа с баг-трекером. Считаешь, что любой софт в первую очередь пишется для пользователей. Знаком с языком программирования Python в объеме, достаточном для написания..."
Инженер-тестировщик,https://spb.hh.ru/vacancy/29727446?query=python, Bercut,"Прохождение тесткейсов на релевантной тестовой среде. Сопровождение запуска решения. Сопровождение решения в рамках технической поддержки. Linux. Навыки тестирования. Составление кейсов , выполнение кейсов на релевантном стенде. Continuous integration, continuous delivery. Навыки автоматизации тестирования. Python , Java , Jenkins."
DevOps Engineer / Site Reliability Engineer,https://spb.hh.ru/vacancy/29733792?query=python, LoyaltyPlant,"Совместно с разработчиками развивать и поддерживать продукт. Поддержка тестовой и боевой инфраструктуры 24/7. Развивать существующие процессы CI/CD. Опыт работы в роли DevOps/SRE. Хорошее знание скриптовых языков (Bash, Python, Groovy). Опыт работы с базами данных (MySQL, PostgreSQL..."
Monitoring Tools Engineer/ DevOPS Engineer,https://spb.hh.ru/vacancy/29736206?query=python, DINO Systems,"Заниматься улучшением инструментов и процессов, связанных со стабильностью и производительностью работы Инструментов Мониторинга для своевременного предоставления важной информации командам эксплуатации.  Системы виртуализации (будет плюсом): VMWare, XEN, Docker containers. Языки программирования (один или несколько): Python, Perl, PHP, Go. Знакомство с современными..."
Senior Software Engineer for IP Subsystem products,https://spb.hh.ru/vacancy/28928218?query=python, Synopsys,"Take part in creation of IP subsystems and libraries as a leading SW developer. Definition, design and development of embedded... Excellent skills in scripting languages, such as Python, Unix Shell, Perl or NT CMD. Hands-on hardware/software debugging skills..."
Java Developer (Educational Tools),https://spb.hh.ru/vacancy/26412575?query=python, JetBrains,"Готов изучать различные образовательные платформы и интегрировать их с нашими IDE. Задачи, связанные с созданием среды для обучения языкам программирования... Имеешь опыт разработки на Java от 3 лет, пишешь код, который легко читать и поддерживать. Не останавливаешься в своём развитии..."
Backend Developer (C++/Python),https://spb.hh.ru/vacancy/29174984?query=python, ARRIVAL LTD,"Разработка на С++ (11, 14) /Python высоконагруженных многопоточных серверных решений. Участие в разработке архитектуры решений (мы выбрали для себя микро... Опыт разработки под Linux. Опыт работы с серверным софтом. Знание Python 3. Опыт работы с Tornado, Aiohttp, SQLAlchemy, Django. "
Администратор / инженер Linux,https://spb.hh.ru/vacancy/27923819?query=python, Nexign (АО «Петер-Сервис»),"Сопровождение и развитие ИТ-инфраструктуры предприятия. Консультирование разработчиков на втором уровне поддержки. Участие в проектной деятельности по внедрению новых технологий... Знание Linux на уровне LPIC-2/RedHat CE/Ubuntu CE. Опыт автоматизации задач (bash, Python, Ansilbe, etc). Системный подход в..."
Бекенд-разработчик,https://spb.hh.ru/vacancy/27053342?query=python, Яндекс,"Сбор информации о различных объектах (фильмы, музыка, люди, организации, города, страны и др.) из множества источников. Объединение всей этой информации... Знание классических алгоритмов и структур данных. Умение разбираться в чужом коде. Знание Python. Опыт разработки распределенных систем и распределенных баз..."
Senior Performance Engineer,https://spb.hh.ru/vacancy/28739507?query=python, DINO Systems," Владения хотя бы одним языком программирования (лучше всего Python или Java, но и любой другой пригодится). Понимания функционирования веб и..."
Build and test automation engineer (CLion),https://spb.hh.ru/vacancy/28397194?query=python, JetBrains,"...C++; некоторые компоненты, касающиеся отладчика, написаны на C, C++ и Python. Сборка и тестирование CLion происходит на сервере TeamCity, в... Имеешь опыт DevOps/автоматизации тестирования/release engineer от 3-х лет. Программируешь на скриптовых языках. Уверенно себя чувствуешь в использовании..."
С++ developer,https://spb.hh.ru/vacancy/29731507?query=python, Инженико,"Development of SW in C/C++ for Terminal OS as well as for Win/Linux environments. Porting, optimizing, debugging and... Understanding of DevOps. Self-motivated and self-disciplined. Optional: Python, LUA, PHP, HTML5, JavaScript. Java basis, Android Development basis. "
Инженер по автоматизации,https://spb.hh.ru/vacancy/26899537?query=python, GS Group. GS Labs,"Разработка и внедрение инструментов для CI/CD (Gitlab, k8s, Ansible, Docker). Разработка и внедрение систем мониторинга (Zabbix, Prometheus... Знание одного или нескольких языков: Python / Bash / Powershell /Go. Базы данных: MySQL / Postgres / Oracle (подойдут и навыки по Ansi SQL). "
Старший DevOps Engineer,https://spb.hh.ru/vacancy/29719376?query=python, Dealersocket,"Разработка и поддержка скриптов для автоматизации бизнес процессов. Написание скриптов на языках программирования Python/bash/Ruby. Обеспечение мониторинга инфраструктуры. Знание систем мониторинга (Zabbix, Nagios, Zennos). Хорошее знание Bash/Python/Ruby. Понимание принципов организации мониторинга систем. Опыт работы с SQL..."
Cloud Automation Engineer,https://spb.hh.ru/vacancy/29731387?query=python, ANCOR FinTech,"Participate in the research and development of the automated and replicable solutions. Develop scripts and glue code to integrate multiple... Solid development and scripting background (e.g., bash, python, perl). Proficient understanding of code versioning tools such as Git, Mercurial..."
Тестировщик ПО,https://spb.hh.ru/vacancy/28467771?query=python,ООО Умное пространство,"Требования: Confluence. Дизайн: Zeplin. Тестовая документация: TestRail. Разработка: сервер - Python, БД - PostgreSQL; Android - Java, Kotlin; iOS - Objective-C, Swift; web... Опыт тестирования веб и мобильных приложений. Опыт тестирования серверного API. Не менее 2-х лет опыта работы на аналогичной позиции. "
Программист,https://spb.hh.ru/vacancy/29714573?query=python, ФГАОУ ВО СПбПУ,Компьютерное моделирование физических процессов. Разработка и программная реализация эффективных численных методов. Ускорение работы программ. Участие в написании научных статей на... Высшее образование (техническое направление). Опыт программирования на одном из языков Python/C/C++/C#. Опыт работы в Linux. 
Тестировщик,https://spb.hh.ru/vacancy/29714050?query=python, Noveo, Опыт написания тестовой документации. Знакомство с Selenium или его обертками на Java/Ruby/Python. Знание французского – приятный бонус.
Инженер Linux,https://spb.hh.ru/vacancy/29706878?query=python, CSI (Кристалл Сервис Интеграция),"Адаптация оборудования в направлениях ""Кассы"" и Торговый зал"" к нашей сборке Linux, на которой строятся все программные продукты CSI.  Опыт программирования на скриптовых языках: Bash (требуется). Python (будет плюсом). Понимание внутреннего устройства Линукс: Bootloader (grub, grub2, syslinux). "
Team Lead,https://spb.hh.ru/vacancy/29731527?query=python, DINO Systems,"Управлять командой разработчиков. Лично участвовать в разработке и ревью кода. Организовать разработку и развертывание решений для автоматизированной системы мониторинга (Enterprise... Опыт разработки распределенных высоконагруженных серверных приложений от 2х лет. Языки: Python, либо Go, либо JavaScript. Способность реализовать и развернуть..."
Product analyst,https://spb.hh.ru/vacancy/25413529?query=python, JetBrains,"Разработает систему метрик для работы над развитием продуктов компании: где возникают проблемы с использование продукта, как изменения в продукте влияют... Знание математической статистики и опыт ее применения. Уверенное использование Python (Pandas, Numpy), опыт работы с SQL. Умение выбирать нужный способ..."
Data Infrastructure DevOps,https://spb.hh.ru/vacancy/28123349?query=python, Wrike,Configure and manage internal analytics infrastructure to deliver high uptime of analytics services and applications. Create and support integration with... Good knowledge of Python or Java/Scala (with good understanding of Python syntax). Understanding of distributed data stack. 
Руководитель направления по интеллектуальных систем в геологии и разработке,https://spb.hh.ru/vacancy/29739031?query=python, ПАО «Газпром нефть»,"Осуществляет научное управление, запускает и курирует проекты в области интеллектуальных систем в разведки и добычи нефти и газа.  5+ лет опыта работы в области Data Science. Знание Python, Jupyter Notebook. Глубокое понимание статистики и теории вероятности, Data..."
Аналитик по управлению инцидентами ИБ,https://spb.hh.ru/vacancy/29025345?query=python,ПАО Совкомбанк,"Анализ защищенности мобильных приложений и исходного кода ПО (C#,java,php,python и т.д.). Участие в расследовании инцидентов (forensics... Знание как минимум одного скриптового языка программирования (Java/PHP/Python). Умение писать SQL/T-SQL запросы. Навыки тестирования на проникновение..."
